,Distributor,MPAA_Rating,primaryTitle,Opening_Weekend,budget,,'G','GP','M','M/PG','NC-17','Not Yet Rated','PG','PG-13','R','Unknown','Unrated','X'
0,'IFC','Unknown',#Horror,,'N/A',0,0,0,0,0,0,0,0,0,0,1,0,0
1,'Regent Releasing','R',$9.99,'$478','N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
2,'Truly Indie','Unrated',$upercapitalist,"'$8,372'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
3,'Fox Searchlight','PG-13',(500) Days of Summer,,'$7.5 million',0,0,0,0,0,0,0,0,1,0,0,0,0
4,'Samuel Goldwyn','R',(Untitled),"'$18,002'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
5,'Columbia','R',...And Justice for All,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
6,'Asia Releasing','Not Yet Rated',1 Mile Above,,'N/A',0,0,0,0,0,0,1,0,0,0,0,0,0
7,'Eros','Unrated',1+1=11,"'$92,342'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
8,'Kino Lorber','Unrated',"1,000 Rupee Note","'$1,697'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
9,'Film Movement','Unrated',"1,000 Times Good Night","'$24,120'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
10,'Warner Bros.','R',10,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
11,'Paramount','PG-13',10 Cloverfield Lane,"'$24,727,437'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
12,'Cafe Pictures','Unrated',10 Days in a Madhouse,"'$4,773'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
13,'ThinkFilm','R',10 Items or Less,"'$35,929'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
14,"'Monterey Media, Inc.'",'Unrated',10 Questions for the Dalai Lama,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
15,'Screen Media','R',10 Rules for Sleeping Around,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
16,'Buena Vista','PG-13',10 Things I Hate About You,"'$8,330,681'",'$30 million',0,0,0,0,0,0,0,0,1,0,0,0,0
17,'MGM','R',10 to Midnight,"'$3,050,225'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
18,'Anchor Bay Films','PG-13',10 Years,"'$22,707'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
19,'Warner Bros.','PG-13',"10,000 B.C.","'$35,867,488'",'$105 million',0,0,0,0,0,0,0,0,1,0,0,0,0
20,'Broad Green Pictures','R',"10,000 Km","'$8,941'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
21,'Doppelganger Releasing','Unrated',100 Bloody Acres,"'$3,419'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
22,'Music Box Films','R',The 100-Year Old Man Who Climbed Out the Window and Disappeared,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
23,'Kino Lorber','Unrated',1001 Grams,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
24,'Disney','G',101 Dalmatians,,'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
25,'Buena Vista','G',101 Dalmatians (1996),"'$33,504,025'",'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
26,'Disney','G',101 Dalmatians (Re-issue) (1969),,'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
27,'Disney','G',101 Dalmatians (Re-issue) (1979),,'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
28,'Buena Vista','G',101 Dalmatians (Re-issue) (1985),"'$2,389,226'",'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
29,'Buena Vista','G',101 Dalmatians (Re-issue) (1991),"'$10,279,044'",'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
30,'Menemsha','Unrated',101 Reykjavik,"'$14,656'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
31,'Buena Vista','G',102 Dalmatians,"'$19,883,351'",'$85 million',0,1,0,0,0,0,0,0,0,0,0,0,0
32,'Sony / Columbia','PG',102 Not Out,"'$483,681'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
33,'ThinkFilm','R',10th & Wolf,"'$20,774'",'$8 million',0,0,0,0,0,0,0,0,0,1,0,0,0
34,'Vertical Entertainment','Unrated',10x10,'n/a','N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
35,'First Run','Unrated',11 Flowers,"'$3,516'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
36,'Rocket Releasing','PG-13',11-11-11,"'$32,771'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
37,'The Orchard','Unrated',11/8/16,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
38,'Brainstorm Media','Unrated',11th Hour,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
39,'Warner Independent','PG',The 11th Hour,"'$60,853'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
40,'Sony Classics','PG-13',12,"'$12,042'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
41,'United Artists','Unrated',12 Angry Men,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
42,'Distrib Films','Unrated',12 Days,'$923','N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
43,'Universal','R',12 Monkeys,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
44,'Oscilloscope Pictures','Unrated',12 O'Clock Boys,"'$44,108'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
45,'Fox','PG-13',12 Rounds,"'$5,329,240'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
46,'Warner Bros.','R',12 Strong,"'$15,815,025'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
47,'Fox Searchlight','R',12 Years a Slave,,'$20 million',0,0,0,0,0,0,0,0,0,1,0,0,0
48,'Weinstein Company','R',12-12-12,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
49,'Fox Searchlight','R',127 Hours,,'$18 million',0,0,0,0,0,0,0,0,0,1,0,0,0
50,'Tartan','Unrated',12:08 East of Bucharest,"'$11,586'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
51,'Magnolia','R',13 Assassins,"'$45,854'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
52,'Sony Classics','R',13 Conversations About One Thing,"'$89,499'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
53,'Sony (Revolution)','PG-13',13 Going on 30,"'$21,054,283'",'$37 million',0,0,0,0,0,0,0,0,1,0,0,0,0
54,'Paramount','R',13 Hours: The Secret Soldiers of Benghazi,"'$16,194,738'",'$50 million',0,0,0,0,0,0,0,0,0,1,0,0,0
55,'Sony Classics','R',13 Minutes,"'$11,750'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
56,'Unknown','Unrated',13 Months of Sunshine,"'$2,237'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
57,'Radius-TWC','R',13 Sins,"'$9,261'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
58,'Palm','Unrated',13 Tzameti,"'$10,805'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
59,'AdLabs','Unrated',13B,"'$6,752'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
60,'Super Chief Films','R',The 13th Alley,"'$112,946'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
61,'Buena Vista','R',The 13th Warrior,"'$10,267,756'",'$160 million',0,0,0,0,0,0,0,0,0,1,0,0,0
62,'Radius-TWC','R',14 Blades,,'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
63,'MGM (Weinstein)','PG-13',1408,"'$20,617,667'",'$25 million',0,0,0,0,0,0,0,0,1,0,0,0,0
64,'Paramount','PG-13',1492: Conquest of Paradise,"'$3,002,680'",'$47 million',0,0,0,0,0,0,0,0,1,0,0,0,0
65,'Picture This!','Unrated',15,'$633','N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
66,'Chris.','Unrated',15 Fevrier 1839,"'$45,610'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
67,'New Line','R',15 Minutes,"'$10,523,154'",'$60 million',0,0,0,0,0,0,0,0,0,1,0,0,0
68,'Warner Bros.','PG-13',The 15:17 to Paris,"'$12,554,286'",'$30 million',0,0,0,0,0,0,0,0,1,0,0,0,0
69,'Warner Bros.','PG-13',16 Blocks,"'$11,855,260'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
70,'Paramount','G',16 Days of Glory,,'N/A',0,1,0,0,0,0,0,0,0,0,0,0,0
71,'Tartan','R',16 Years of Alcohol,"'$2,863'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
72,'Warner Bros. (New Line)','PG-13',17 Again,"'$23,722,310'",'N/A',0,0,0,0,0,0,0,0,1,0,0,0,0
73,'STX Entertainment','Not Yet Rated',17 Bridges,,'N/A',0,0,0,0,0,0,1,0,0,0,0,0,0
74,'Strand','Unrated',17 Girls,"'$4,449'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
75,'New World','PG',18 Again,"'$1,475,645'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
76,'TVA','Unrated',18 ans apres,"'$25,611'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
77,'Magnolia','PG',180 South,"'$10,269'",'N/A',0,0,0,0,0,0,0,1,0,0,0,0,0
78,'Warner Bros.','R',187,"'$2,222,984'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
79,'Sony / Columbia','R',1898: Los ultimos de Filipinas,"'$1,844'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
80,'Paramount','R',1900,,'$9 million',0,0,0,0,0,0,0,0,0,1,0,0,0
81,'Variance Films','R',1911,"'$55,850'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
82,'Bloodvine Media','Unrated',1915,"'$30,448'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
83,'Universal','Not Yet Rated',1917,,'N/A',0,0,0,0,0,0,1,0,0,0,0,0,0
84,'Reliance Films','Unrated',1920 London,,'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
85,'Universal','PG',1941,,'$35 million',0,0,0,0,0,0,0,1,0,0,0,0,0
86,'Menemsha','Unrated',1945,"'$20,365'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
87,'Atlantic','R',1969,"'$1,709,120'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
88,'Samuel Goldwyn','R',1984,"'$29,897'",'N/A',0,0,0,0,0,0,0,0,0,1,0,0,0
89,'Entertainment One','Unrated',1991,"'$328,828'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
90,'Warner Bros.','Unrated',1995 Bugs Bunny Film Festival,"'$7,219'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
91,'Warner Bros.','Unrated',1998 Bugs Bunny Film Festival,"'$12,285'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
92,'Film Movement','Unrated',"2 Autumns, 3 Winters","'$2,163'",'N/A',0,0,0,0,0,0,0,0,0,0,0,1,0
