tconst,averageRating,numVotes,primaryTitle,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News
tt0315642,7.1,15255.0,Wazir,Wazir,103,586028,08 Jan 2016,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0337692,6.1,37629.0,On the Road,On the Road,124,665094,23 May 2012,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0359950,7.3,273033.0,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,114,33223430,25 Dec 2013,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0369610,7.0,531876.0,Jurassic World,Jurassic World,124,528757749,12 Jun 2015,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0376136,6.2,94275.0,The Rum Diary,The Rum Diary,119,13000000,28 Oct 2011,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0376479,6.1,12594.0,American Pastoral,American Pastoral,108,541457,21 Oct 2016,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0377981,6.0,49079.0,Gnomeo & Juliet,Gnomeo & Juliet,84,99808609,11 Feb 2011,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0383010,5.1,28319.0,The Three Stooges,The Three Stooges,92,41800000,13 Apr 2012,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0398286,7.8,360855.0,Tangled,Tangled,100,200803309,24 Nov 2010,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0401729,6.6,237177.0,John Carter,John Carter,132,73058679,09 Mar 2012,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0403935,3.3,2806.0,Action Jackson,Action Jackson,144,171795,05 Dec 2014,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0404978,5.7,21966.0,Gambit,Gambit,89,689042,21 Nov 2012,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0409379,6.2,6972.0,In Secret,In Secret,107,308227,03 Apr 2014,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0409847,6.0,194372.0,Cowboys & Aliens,Cowboys & Aliens,119,100215116,29 Jul 2011,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0427152,5.9,90580.0,Dinner for Schmucks,Dinner for Schmucks,114,72980108,30 Jul 2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0429493,6.8,233638.0,The A-Team,The A-Team,117,77213489,11 Jun 2010,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0431021,5.9,53245.0,The Possession,The Possession,92,49100000,31 Aug 2012,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
tt0433035,7.1,281817.0,Real Steel,Real Steel,127,85463309,07 Oct 2011,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0435651,6.5,103927.0,The Giver,The Giver,97,33480518,15 Aug 2014,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0435761,8.3,670551.0,Toy Story 3,Toy Story 3,103,414984497,18 Jun 2010,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0443272,7.4,226770.0,Lincoln,Lincoln,150,129477447,16 Nov 2012,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tt0443331,4.1,1550.0,Milenge Milenge,Milenge Milenge,109,48172,09 Jul 2010,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0443465,6.8,43900.0,Before We Go,Before We Go,95,22522,21 Jul 2015,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0446029,7.5,334151.0,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,112,31494270,13 Aug 2010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0448022,6.6,1047.0,A Bird of the Air,A Bird of the Air,108,10152,23 Sep 2011,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0448694,6.6,131908.0,Puss in Boots,Puss in Boots,90,149234747,28 Oct 2011,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0451279,7.5,471592.0,Wonder Woman,Wonder Woman,141,412400625,02 Jun 2017,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0453562,7.5,76714.0,42,42,128,95001343,12 Apr 2013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
