tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget
tt2614684,'71,0,0,0,0,0,0,0,0,1,0,0,0,7.2,45555.0,'71,99,1286219,10 Oct 2014,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55761,0
tt2353767,"1,000 Times Good Night",0,0,0,0,0,0,0,0,0,0,1,0,7.1,6741.0,Tusen ganger god natt,117,53025,24 Oct 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24120,0
tt1179933,10 Cloverfield Lane,0,0,0,0,0,0,0,1,0,0,0,0,7.2,256407.0,10 Cloverfield Lane,103,59481553,11 Mar 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24727437,0
tt1715873,10 Years,0,0,0,0,0,0,0,1,0,0,0,0,6.1,22301.0,10 Years,100,201146,05 Oct 2012,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22707,0
tt2042432,11 Flowers,0,0,0,0,0,0,0,0,0,0,1,0,7.1,539.0,Wo 11,110,9213,09 May 2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3516,0
tt1436045,13 Assassins,0,0,0,0,0,0,0,0,1,0,0,0,7.6,57763.0,Jûsan-nin no shikaku,141,802524,25 Sep 2010,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45854,0
tt1860152,17 Girls,0,0,0,0,0,0,0,0,0,0,1,0,6.0,2960.0,17 filles,86,15002,21 Sep 2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4449,0
tt1772230,1911,0,0,0,0,0,0,0,0,1,0,0,0,5.9,5497.0,Xin hai ge ming,121,127437,23 Sep 2011,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55850,0
tt5815492,1945,0,0,0,0,0,0,0,0,0,0,1,0,7.2,2233.0,1945,91,258392,01 Nov 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20365,0
tt1602472,2 Days in New York,0,0,0,0,0,0,0,0,1,0,0,0,6.0,13257.0,2 Days in New York,96,500000,28 Mar 2012,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23942,0
tt1272878,2 Guns,0,0,0,0,0,0,0,0,1,0,0,0,6.7,180328.0,2 Guns,109,73500000,02 Aug 2013,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27059130,61000000
tt1506940,2012: Time for Change,0,0,0,0,0,0,0,0,0,0,1,0,7.0,315.0,2012: Time for Change,85,63516,15 Oct 2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9009,0
tt1232829,21 Jump Street,0,0,0,0,0,0,0,0,1,0,0,0,7.2,472850.0,21 Jump Street,109,134000000,16 Mar 2012,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36302612,42000000
tt2294449,22 Jump Street,0,0,0,0,0,0,0,0,1,0,0,0,7.0,315400.0,22 Jump Street,112,154295930,13 Jun 2014,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57071445,50000000
tt2304459,23 Blast,0,0,0,0,0,0,0,1,0,0,0,0,6.5,1538.0,23 Blast,98,485128,24 Oct 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,337091,0
tt2124074,28 Hotel Rooms,0,0,0,0,0,0,0,0,0,0,1,0,5.8,2735.0,28 Hotel Rooms,82,16017,09 Nov 2012,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869,0
tt4158624,3 Generations,0,0,0,0,0,0,0,1,0,0,0,0,5.8,4860.0,3 Generations,92,66371,29 Sep 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105215,0
tt2822742,3 Hearts,0,0,0,0,0,0,0,1,0,0,0,0,5.9,2042.0,3 coeurs,108,104398,17 Sep 2014,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11794,0
tt3685624,3 Idiotas,0,0,0,0,0,0,0,1,0,0,0,0,4.2,726.0,3 Idiotas,106,1239307,02 Jun 2017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609249,0
tt2123884,3 Nights in the Desert,0,0,0,0,0,0,0,0,1,0,0,0,5.3,1404.0,3 Nights in the Desert,90,1279,04 Jan 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,0
tt1484521,30 Beats,0,0,0,0,0,0,0,0,1,0,0,0,4.1,857.0,30 Beats,88,14686,16 Nov 2012,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8624,0
tt1622547,30 Minutes or Less,0,0,0,0,0,0,0,0,1,0,0,0,6.1,86557.0,30 Minutes or Less,83,37100000,12 Aug 2011,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13330118,28000000
tt3711708,30 Years of Garbage: The Garbage Pail Kids Story,0,0,0,0,0,0,0,0,0,0,1,0,7.2,72.0,30 Years of Garbage: The Garbage Pail Kids Story,114,22251,20 Sep 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5030,0
tt1652287,35 and Ticking,0,0,0,0,0,0,0,0,1,0,0,0,5.7,1336.0,35 and Ticking,104,113888,20 May 2011,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29808,0
tt1680045,360,0,0,0,0,0,0,0,0,1,0,0,0,6.2,14984.0,360,110,49328,25 Jul 2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12186,0
tt0453562,42,0,0,0,0,0,0,0,1,0,0,0,0,7.5,76714.0,42,128,95001343,12 Apr 2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27487144,40000000
tt3544082,45 Years,0,0,0,0,0,0,0,0,1,0,0,0,7.1,27582.0,45 Years,91,3489919,28 Aug 2015,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65775,0
tt2932536,47 Meters Down,0,0,0,0,0,0,0,1,0,0,0,0,5.6,37790.0,47 Meters Down,89,44305642,16 Jun 2017,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11205561,0
tt1335975,47 Ronin,0,0,0,0,0,0,0,1,0,0,0,0,6.3,134127.0,47 Ronin,128,20518224,25 Dec 2013,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9910310,175000000
tt1486193,5 Days of War,0,0,0,0,0,0,0,0,1,0,0,0,5.6,13024.0,5 Days of War,113,17243,06 Jun 2011,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6254,12000000
tt2486678,5 to 7,0,0,0,0,0,0,0,0,1,0,0,0,7.1,16257.0,5 to 7,95,117066,12 Feb 2015,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18006,0
tt1777595,50 to 1,0,0,0,0,0,0,0,1,0,0,0,0,6.6,1710.0,50 to 1,110,1063723,21 Mar 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78480,0
tt1306980,50/50,0,0,0,0,0,0,0,0,1,0,0,0,7.7,298386.0,50/50,100,35005118,30 Sep 2011,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8644095,8000000
tt0865561,6 Month Rule,0,0,0,0,0,0,0,0,1,0,0,0,4.9,592.0,6 Month Rule,100,11158,07 Aug 2012,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,0
tt4424722,7 Witches,0,0,0,0,0,1,0,0,0,0,0,0,3.6,629.0,7 Witches,75,31100,14 Apr 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875,0
