,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,runtimeMinutes,box office,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget,avg_pos,avg_neg,no_pos_comms,no_neg_comms
0,0,0,0,0,0,0,0,0,1,0,0,0,7.2,45555.0,99,1286219,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55761,46193374,0.5480397590361464,-0.5499339285714289,2075,1400
1,0,0,0,0,0,0,0,0,0,0,1,0,7.1,6741.0,117,53025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24120,42692971,0.5965349999999996,-0.5350666666666667,100,30
2,0,0,0,0,0,0,0,1,0,0,0,0,7.2,256407.0,103,59481553,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24727437,13066160,0.5479783398184171,-0.533018653846155,3084,2080
3,0,0,0,0,0,0,0,1,0,0,0,0,6.1,22301.0,100,201146,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22707,51793922,0.5614081996434943,-0.5227251633986938,2244,1224
4,0,0,0,0,0,0,0,0,0,0,1,0,7.1,539.0,110,9213,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3516,60709648,0.536704745762714,-0.5291106007067148,1475,1415
5,0,0,0,0,0,0,0,0,1,0,0,0,7.6,57763.0,141,802524,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45854,41800571,0.5656959481361329,-0.5188138599105814,6170,3355
6,0,0,0,0,0,0,0,0,0,0,1,0,6.0,2960.0,86,15002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4449,16953708,0.5636879365079324,-0.5066210462287107,7875,4110
7,0,0,0,0,0,0,0,0,1,0,0,0,5.9,5497.0,121,127437,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55850,23554178,0.5646397511848343,-0.5067134743875265,8440,4490
8,0,0,0,0,0,0,0,0,0,0,1,0,7.2,2233.0,91,258392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20365,47280154,0.5768125,-0.5939090909090907,80,55
9,0,0,0,0,0,0,0,0,1,0,0,0,6.0,13257.0,96,500000,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23942,16625662,0.5527084745762715,-0.5223461538461539,236,156
10,0,0,0,0,0,0,0,0,1,0,0,0,6.7,180328.0,109,73500000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27059130,61000000,0.5614563360881444,-0.5072061764705874,7260,3400
11,0,0,0,0,0,0,0,0,0,0,1,0,7.0,315.0,85,63516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9009,50600639,0.5181878980891671,-0.4976363192182412,4710,3070
12,0,0,0,0,0,0,0,0,1,0,0,0,7.2,472850.0,109,134000000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36302612,42000000,0.5560613682092549,-0.5051167441860471,2485,1075
13,0,0,0,0,0,0,0,0,1,0,0,0,7.0,315400.0,112,154295930,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57071445,50000000,0.5598598021582674,-0.4972582278481024,5560,2370
14,0,0,0,0,0,0,0,1,0,0,0,0,6.5,1538.0,98,485128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,337091,68097113,0.5843623287671235,-0.4146312500000001,584,192
