,tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget,valid,avg_pos,avg_neg,no_pos_comms,no_neg_comms
0,tt2614684,'71,0,0,0,0,0,0,0,0,1,0,0,0,7.2,45555.0,'71,99,1286219,10 Oct 2014,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55761,0,True,0.5480397590361464,-0.5499339285714289,2075,1400
1,tt2353767,"1,000 Times Good Night",0,0,0,0,0,0,0,0,0,0,1,0,7.1,6741.0,Tusen ganger god natt,117,53025,24 Oct 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24120,0,True,0.5965349999999996,-0.5350666666666667,100,30
2,tt1179933,10 Cloverfield Lane,0,0,0,0,0,0,0,1,0,0,0,0,7.2,256407.0,10 Cloverfield Lane,103,59481553,11 Mar 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24727437,0,True,0.5479783398184171,-0.533018653846155,3084,2080
3,tt1715873,10 Years,0,0,0,0,0,0,0,1,0,0,0,0,6.1,22301.0,10 Years,100,201146,05 Oct 2012,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22707,0,True,0.5614081996434943,-0.5227251633986938,2244,1224
4,tt2042432,11 Flowers,0,0,0,0,0,0,0,0,0,0,1,0,7.1,539.0,Wo 11,110,9213,09 May 2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3516,0,True,0.536704745762714,-0.5291106007067148,1475,1415
5,tt1436045,13 Assassins,0,0,0,0,0,0,0,0,1,0,0,0,7.6,57763.0,Jûsan-nin no shikaku,141,802524,25 Sep 2010,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45854,0,True,0.5656959481361329,-0.5188138599105814,6170,3355
6,tt1860152,17 Girls,0,0,0,0,0,0,0,0,0,0,1,0,6.0,2960.0,17 filles,86,15002,21 Sep 2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4449,0,True,0.5636879365079324,-0.5066210462287107,7875,4110
7,tt1772230,1911,0,0,0,0,0,0,0,0,1,0,0,0,5.9,5497.0,Xin hai ge ming,121,127437,23 Sep 2011,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55850,0,True,0.5646397511848343,-0.5067134743875265,8440,4490
8,tt5815492,1945,0,0,0,0,0,0,0,0,0,0,1,0,7.2,2233.0,1945,91,258392,01 Nov 2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20365,0,True,0.5768125,-0.5939090909090907,80,55
9,tt1602472,2 Days in New York,0,0,0,0,0,0,0,0,1,0,0,0,6.0,13257.0,2 Days in New York,96,500000,28 Mar 2012,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23942,0,True,0.5527084745762715,-0.5223461538461539,236,156
